Mon.Groups,Family,Species,Common.Name,SP.,BM,Humerus.Length,HC,Femur.Length,FC,HCFC,log.BM,log.HCFC
Carnivora,Felidae,Lynx lynx,Eurasian lynx,ZMUC 120-CH2005,9700,170.5,38,202.5,39,77,3.986771734,1.886490725
Carnivora,Felidae,Lynx rufus,Bobcat,ROM 67947,8800,151.25,36.5,175.95,38.25,74.75,3.944482672,1.873611197
Carnivora,Felidae,Neofelis nebulosa,Cloud lepard,AHR1985,13478,NA,44.7,NA,41.4,86.1,4.129625452,1.935003151
Carnivora,Felidae,Panthera leo,Lion,ZMUC 7231-CH2005,203000,366,116,401,109,225,5.307496038,2.352182518
Carnivora,Felidae,Panthera onca,Jaguar,ZMUC 6221-CH2005,71000,239,76,265.5,72.5,148.5,4.851258349,2.171726454
Carnivora,Felidae,Panthera pardus,Leopard,ZMUC 5661-CH2005,61000,200,62,231,61,123,4.785329835,2.089905111
Carnivora,Felidae,Panthera tigris_altaica,Siberian tiger,ZMUC 5698-CH2005,230000,350,113,411,102.5,215.5,5.361727836,2.333447274
Carnivora,Felidae,Panthera tigris_tigris,Bengal tiger,ZMUC 5667-CH2005,145000,310,94,360.5,90.5,184.5,5.161368002,2.26599637
Carnivora,Felidae,Panthera unica,Snow Leopard,ZMUC 6047-CH2005,43100,208.5,63.5,234.5,63,126.5,4.63447727,2.102090526
Carnivora,Felidae,Puma concolor,Cougar,ZMUC 5663-CH2005,47000,231.5,65.5,276.5,62.5,128,4.672097858,2.10720997
Carnivora,Herpestidae,Crossarchus obscurus,Common Kusimanse,ROM 89636,1190,48.86,14.9,54.76,15.5,30.4,3.075546961,1.482873584
Carnivora,Herpestidae,Galerella sanguinea,Slender Mongoose,ROM 58390,1100,45.5,14,51.25,14.5,28.5,3.041392685,1.45484486
Carnivora,Herpestidae,Helogale parvula,Common Dwarf Mongoose,ROM 58387,450,34.6,11,36,12,23,2.653212514,1.361727836
Carnivora,Herpestidae,Herpestes javanicus,Small Asian Mongoose,ROM 74045,384,42.2,11.6,46.84,12.5,24.1,2.584331224,1.382017043
Carnivora,Herpestidae,Ichneumia albicauda,White-tailed Mongoose,ROM 58383,4760,93.3,23.1,108.72,27.05,50.15,3.677606953,1.700270937
Carnivora,Herpestidae,Liberiictis kuhni,Liberian Mongoose,ROM 102286,2430,68,20.5,76.1,22.25,42.75,3.385606274,1.630936119
Carnivora,Herpestidae,Suricata suricata,Meerkat,ROM 74547,717,50.74,13.2,55.83,13.65,26.85,2.855519156,1.42894429
Carnivora,Mustelidae,Arctonyx collaris,Hog Badger,ROM 97264,5900,96.56,32.1,109.04,29.3,61.4,3.770852012,1.788168371
Carnivora,Mustelidae,Gulo gulo,Wolverine,ROM 32287,16556,136.25,39.75,141.5,35,74.75,4.218955418,1.873611197
Carnivora,Mustelidae,Lutra canadensis,Otter,ROM R6629,6400,74.66,26.1,73.69,24.4,50.5,3.806179974,1.703291378
Carnivora,Mustelidae,Martes pennanti,Fisher,ROM 87320,6160,96.4,22.25,102.45,24.5,46.75,3.789580712,1.669781615
Carnivora,Mustelidae,Mephitis mephitis,Striped Skunk,ROM 98961,6500,62.15,24.05,71.25,22.05,46.1,3.812913357,1.663700925
Carnivora,Mustelidae,Mustela erminae,Stoat,ROM 77158,145,29.2,7,30.6,7.7,14.7,2.161368002,1.167317335
Carnivora,Mustelidae,Mustela frenata,Long-tailed weasel,ROM 94414,260,34.98,9.55,38.48,10.2,19.75,2.414973348,1.2955671
Carnivora,Mustelidae,Mustela nigripes,Black-footed ferret,ROM R6743,694,48.8,12.15,49.9,13.05,25.2,2.84135947,1.401400541
Carnivora,Mustelidae,Mustela putorius,European Polecat,ROM 88373,1100,47.3,12.95,51.97,12.5,25.45,3.041392685,1.405687787
Carnivora,Mustelidae,Mustela vison,American Mink,ROM 111439,1135,47.76,14.65,50.87,14.7,29.35,3.054995862,1.467608106
Carnivora,Mustelidae,Taxidae taxus,American Badger,ROM 58275,9900,103.1,33,100.8,27.75,60.75,3.995635195,1.783546282
Carnivora,Otariidae,Arctocephalus pusillus,Brown fur seal,ROM R5607,43000,141.35,83.95,81.75,48.75,132.7,4.633468456,2.122870923
Carnivora,Phocidae,Phoca groenlandica,Harp seal,ROM R1665,42000,128.5,68.85,90.55,70,138.85,4.62324929,2.142545884
Carnivora,Procyonidae,Procyon lotor,Racoon,ROM 88247,7000,114.7,31.05,132.75,33.25,64.3,3.84509804,1.808210973
Carnivora,Ursidae,Ursus americanus,Black bear,ROM 71435,204000,296,101.5,302,96.5,198,5.309630167,2.29666519
Carnivora,Ursidae,Ursus arctos,Grizzly bear,ROM 35699,435500,400.5,146.25,445.5,126.25,272.5,5.638988159,2.435366507
Carnivora,Ursidae,Ursus maritimus,Polar bear,AHR1985,447695,NA,158,NA,135,293,5.650982244,2.46686762
Carnivora,Viverridae,Viverricula indica,Lesser oriental civet,ROM R629,2600,78.3,21.2,92.95,24.1,45.3,3.414973348,1.656098202
Euarchonta,Aotidae,Aotus trivirgatus,Three-striped Night Monkey,ROM 94422,1050,68.465,15,91.14,16.85,31.85,3.021189299,1.503109437
Euarchonta,Callitrichidae,Callithrix jacchus,Common Marmoset,ROM 101192,270,45.04,11.05,56.175,11.85,22.9,2.431363764,1.359835482
